Название,Описание,Ссылка,Изображение
Devhands Open Sessions c Владимиром Перепелицей. Очереди в 2025м что выбрать Kafka RabbitMQ NATS или что-то ещё?,https://habr.com/ru/articles/899670/
Рефакторинг в BI-проектах когда и зачем переписывать «рабочий» код,https://habr.com/ru/companies/luxms_bi/articles/899664/
Рефакторинг в BI-проектах когда и зачем переписывать «рабочий» код,https://habr.com/ru/companies/luxms_bi/articles/899662/
12 событий апреля которые нельзя пропустить,https://habr.com/ru/companies/otus/articles/899644/
Как я стал core-разработчиком Python в 19 лет,https://habr.com/ru/articles/899636/
KotlinJS в GitHub Actions,https://habr.com/ru/companies/dododev/articles/898704/
Инженерный софт для швейного производства,https://habr.com/ru/companies/lure_it/articles/899626/
Зачем моему бизнесу нейросети гайд для не-программистов,https://habr.com/ru/articles/899610/
Путь видео в онлайн-кинотеатрах от «стекла до стекла». Middleware — ядро подписки сервисы витрина,https://habr.com/ru/companies/ru_mts/articles/898642/
Декларативный API деревья поведений и реконсиляция как мы в MWS строим сервис Compute,https://habr.com/ru/companies/mws/articles/899288/
Путь в микроэлектронику через верификацию руководство для начинающих,https://habr.com/ru/companies/yadro/articles/899446/
High Availability в Postgres Pro без головной боли,https://habr.com/ru/companies/postgrespro/articles/898396/
Open source в Яндексе — рассказывает Сергей Бережной директор по devrel и евангелист открытой разработки,https://habr.com/ru/articles/899376/
Pairwise тестирование. Почему зачем и как?,https://habr.com/ru/articles/876580/
Путь инженера-программиста от джуна до сеньора,https://habr.com/ru/articles/899532/
